sound_id,onomatopoeia_katakana,confidence_score,acceptance_score,dsp_target_0,dsp_target_1,dsp_target_2,dsp_target_3,dsp_target_4,dsp_target_5,dsp_target_6,dsp_target_7,dsp_target_8,dsp_target_9
0,ガンガン,3,3,0.5289964709120808,0.5103119304273286,0.18508922807075257,0.5518262527154887,0.4012332055826481,0.3228333142883041,-0.029367419748139292,0.6367089223598708,0.2523403323010111,-0.18852008551263383
0,ドンドン,3,3,0.8811229120772887,0.7424918142704792,0.7873920339346263,0.49977424953311517,0.29289703916687826,-0.2437207903325532,-0.2631740580450337,0.9736927938106532,0.16401035982496368,-0.07357084939036093
0,バンバン,5,3,0.9452536525961284,0.668160536300065,0.5324928733628479,0.7037542829760599,0.4840829728153482,0.07371047768613025,-0.12577530357448918,0.7465240264723593,0.2496299251938006,0.07424576770979674
0,サラサラ,3,3,-0.2101788140524809,-0.3798225662655883,-0.21774954501578744,-0.25610471734396073,0.22769883172636282,0.4241891319536112,0.7871964825200093,-0.4107302279513621,0.7040427059640588,0.059332311678937676
0,パタパタ,3,4,0.013002994189150165,-0.3533359553066767,-0.272896759362271,-0.24344876501674179,0.29276281974270196,0.31842828842945664,0.41991049020443016,-0.41853320145404865,0.5494376520494042,0.0637432633105065
0,カサカサ,4,5,0.09554219022716534,0.04608336196141355,-0.20224219294553825,-0.10831911817310674,0.26138336489078645,0.7543174619929915,0.8364152213171825,-0.5133276202205386,0.6251052441830109,-0.20838927486000813
0,ズシャー,5,5,0.6154403816829986,0.42018398201692797,0.5558523892821635,0.5467684430547548,0.3767943197202083,-0.07980216586477527,-0.41262131132468627,0.6014766573461109,0.8693022141005498,-0.2173145521633487
0,ゴロゴロ,4,4,0.335060068659287,0.5246274349582138,0.7795459192862928,0.768485640323097,0.34801341017840604,-0.21982717071011232,-0.24998395020999475,0.2631138834394051,0.47905617364289427,-0.03954389796961186
0,キラキラ,4,3,-0.18596113565495392,-0.2566095113248378,-0.44093707501141405,-0.5862279672024322,0.2681757951431356,0.7285628097178533,1.0,-0.1421588146351288,0.6111680316650132,0.19855931935607038
0,ピカピカ,5,5,-0.17887075442002967,-0.32803626294516874,-0.6234272983537967,-0.26772727474864216,0.270391179367779,0.762099106473536,0.8735693567494904,-0.26250225216380074,0.3084629973860821,0.09938559362283704
0,フワフワ,4,5,-0.5448293906164003,-0.34521990888806336,-0.20017176926158647,-0.16650321955737013,0.33540498238085437,0.36870487491186094,0.3362625154652136,-0.7015119139823032,0.5465563915895795,0.215233124147382
0,バシャバシャ,4,3,0.31690164735003296,0.48059015276476297,0.22934232485586165,0.28289596994503563,0.47343814647619265,0.6564752449196724,0.5423552289837044,0.6063516751648579,0.3549890766719733,0.2596975719985455
0,ザーザー,4,3,0.46671652943987435,0.5427088151256527,0.17065989263498127,0.22084475942814225,0.36616714751074253,0.4727544839275434,0.43933004936584075,0.3462135025352818,0.6456999970864166,-0.04319149957169732
1,ガンガン,5,5,0.5083312269361633,0.23626297136780133,0.16728171330019337,0.5835218515508809,0.48623267348586513,0.2111269349581463,-0.0973536100848151,0.8113140785284928,0.22984836201796616,-0.11989398779693146
